cell_id,condition
C70R_C70R.bcFKNC_2,resistant
C70R_C70R.bcCPAD_4,resistant
C70R_C70R.bcBTJW_6,resistant
C70R_C70R.bcAIOC_7,resistant
C70R_C70R.bcCLVG_8,resistant
C70R_C70R.bcGNGI_9,resistant
C70R_C70R.bcHFSJ_10,resistant
C70R_C70R.bcCNHG_11,resistant
C70R_C70R.bcIFPN_12,resistant
C70R_C70R.bcCYNY_13,resistant
C70R_C70R.bcGPWQ_14,resistant
C70R_C70R.bcIHJN_15,resistant
C70R_C70R.bcDNBV_16,resistant
C70R_C70R.bcFQSU_18,resistant
C70R_C70R.bcAETD_19,resistant
C70R_C70R.bcAKUX_22,resistant
C70R_C70R.bcBRIX_23,resistant
C70R_C70R.bcAUEG_24,resistant
C70R_C70R.bcCWOQ_25,resistant
C70R_C70R.bcCKJY_26,resistant
C70R_C70R.bcBQLD_27,resistant
C70R_C70R.bcAYRP_28,resistant
C70R_C70R.bcGPXU_29,resistant
C70R_C70R.bcAZTW_30,resistant
C70R_C70R.bcAKSM_31,resistant
C70R_C70R.bcHHKE_32,resistant
C70R_C70R.bcDAHV_33,resistant
C70R_C70R.bcDUUN_34,resistant
C70R_C70R.bcHIHF_35,resistant
C70R_C70R.bcAMTC_36,resistant
C70R_C70R.bcARBY_37,resistant
C70R_C70R.bcBWNH_38,resistant
C70R_C70R.bcCKMX_40,resistant
C70R_C70R.bcEZWD_41,resistant
C70R_C70R.bcCDGP_42,resistant
C70R_C70R.bcCJRC_43,resistant
C70R_C70R.bcAQLC_44,resistant
C70R_C70R.bcHEBT_45,resistant
C70R_C70R.bcDCUE_46,resistant
C70R_C70R.bcCNLD_47,resistant
C70R_C70R.bcEPQX_48,resistant
C70R_C70R.bcEXIC_49,resistant
C70R_C70R.bcFOBV_50,resistant
C70R_C70R.bcHUKU_52,resistant
C70R_C70R.bcGACY_54,resistant
C70R_C70R.bcIEPC_56,resistant
C70R_C70R.bcAHKD_57,resistant
C70R_C70R.bcCVJJ_58,resistant
C70R_C70R.bcFXJY_59,resistant
C70R_C70R.bcGBFL_60,resistant
C70R_C70R.bcEMEY_61,resistant
C70R_C70R.bcDAIB_63,resistant
C70R_C70R.bcCBNA_65,resistant
C70R_C70R.bcCIUA_66,resistant
C70R_C70R.bcBWLK_67,resistant
C70R_C70R.bcHCEE_69,resistant
C70R_C70R.bcCSAW_70,resistant
C70R_C70R.bcBVDZ_71,resistant
C70R_C70R.bcCPYY_72,resistant
C70R_C70R.bcDLOP_74,resistant
C70R_C70R.bcFXPW_76,resistant
C70R_C70R.bcHEVM_77,resistant
C70R_C70R.bcHARC_78,resistant
C70R_C70R.bcDVOF_80,resistant
C70R_C70R.bcENGD_81,resistant
C70R_C70R.bcAJKD_82,resistant
C70R_C70R.bcECJW_83,resistant
C70R_C70R.bcGOWY_84,resistant
C70R_C70R.bcADUS_85,resistant
C70R_C70R.bcGFEW_86,resistant
C70R_C70R.bcFKUW_88,resistant
C70R_C70R.bcAGUI_89,resistant
C70R_C70R.bcBNKH_91,resistant
C70R_C70R.bcBVSH_92,resistant
C70R_C70R.bcBEKD_94,resistant
C70R_C70R.bcEWPA_95,resistant
C70R_C70R.bcGMEP_96,resistant
C70R_C70R.bcGNMP_97,resistant
C70R_C70R.bcGVMP_98,resistant
C70R_C70R.bcDPPH_99,resistant
C70R_C70R.bcHAWC_100,resistant
C70R_C70R.bcGCXK_101,resistant
C70R_C70R.bcFBEL_102,resistant
C70R_C70R.bcBQZI_104,resistant
C70R_C70R.bcBKNH_105,resistant
C70R_C70R.bcCUIM_106,resistant
C70R_C70R.bcHMNP_107,resistant
C70R_C70R.bcIEML_108,resistant
C70R_C70R.bcBHQA_109,resistant
C70R_C70R.bcCDUY_110,resistant
C70R_C70R.bcHUON_111,resistant
C70R_C70R.bcDDJP_112,resistant
C70R_C70R.bcHDXT_113,resistant
C70R_C70R.bcFHJY_115,resistant
C70R_C70R.bcHSLE_116,resistant
C70R_C70R.bcFICN_117,resistant
C70R_C70R.bcFBWA_119,resistant
C70R_C70R.bcDAET_120,resistant
C70R_C70R.bcCHTA_123,resistant
C70R_C70R.bcDGLB_124,resistant
C70R_C70R.bcGPNW_125,resistant
C70R_C70R.bcDBME_126,resistant
C70R_C70R.bcEXAU_128,resistant
C70R_C70R.bcDQPD_129,resistant
C70R_C70R.bcHXXK_132,resistant
C70R_C70R.bcHENO_133,resistant
C70R_C70R.bcGIAP_134,resistant
C70R_C70R.bcGDKA_136,resistant
C70R_C70R.bcDSAS_137,resistant
C70R_C70R.bcFFJN_140,resistant
C70R_C70R.bcHOLM_141,resistant
C70R_C70R.bcAEIE_142,resistant
C70R_C70R.bcDEBW_144,resistant
C70R_C70R.bcDSYB_147,resistant
C70R_C70R.bcAARA_148,resistant
C70R_C70R.bcCAON_149,resistant
C70R_C70R.bcDELN_152,resistant
C70R_C70R.bcGILP_153,resistant
C70R_C70R.bcEOIB_154,resistant
C70R_C70R.bcHEJW_155,resistant
C70R_C70R.bcHUOK_156,resistant
C70R_C70R.bcCUQD_158,resistant
C70R_C70R.bcAFIM_159,resistant
C70R_C70R.bcHQHR_160,resistant
C70R_C70R.bcIBYQ_161,resistant
C70R_C70R.bcFAHD_162,resistant
C70R_C70R.bcIBHS_166,resistant
C70R_C70R.bcADGN_167,resistant
C70R_C70R.bcGLKT_168,resistant
C70R_C70R.bcBCDB_169,resistant
C70R_C70R.bcBUSL_170,resistant
C70R_C70R.bcGSZS_171,resistant
C70R_C70R.bcDNME_172,resistant
