cell_id,condition
C70R_C70R.bcDWVD_1,resistant
C70R_C70R.bcFKNC_2,resistant
C70R_C70R.bcATGT_3,resistant
C70R_C70R.bcCPAD_4,resistant
C70R_C70R.bcBIIV_5,resistant
C70R_C70R.bcAIOC_7,resistant
C70R_C70R.bcCLVG_8,resistant
C70R_C70R.bcGNGI_9,resistant
C70R_C70R.bcHFSJ_10,resistant
C70R_C70R.bcCNHG_11,resistant
C70R_C70R.bcIFPN_12,resistant
C70R_C70R.bcDNBV_16,resistant
C70R_C70R.bcGBQP_17,resistant
C70R_C70R.bcFQSU_18,resistant
C70R_C70R.bcAETD_19,resistant
C70R_C70R.bcHCYB_20,resistant
C70R_C70R.bcFXDC_21,resistant
C70R_C70R.bcAKUX_22,resistant
C70R_C70R.bcBRIX_23,resistant
C70R_C70R.bcAUEG_24,resistant
C70R_C70R.bcBQLD_27,resistant
C70R_C70R.bcAYRP_28,resistant
C70R_C70R.bcGPXU_29,resistant
C70R_C70R.bcAZTW_30,resistant
C70R_C70R.bcAKSM_31,resistant
C70R_C70R.bcHHKE_32,resistant
C70R_C70R.bcDAHV_33,resistant
C70R_C70R.bcHIHF_35,resistant
C70R_C70R.bcAMTC_36,resistant
C70R_C70R.bcARBY_37,resistant
C70R_C70R.bcBWNH_38,resistant
C70R_C70R.bcFIVC_39,resistant
C70R_C70R.bcCKMX_40,resistant
C70R_C70R.bcEZWD_41,resistant
C70R_C70R.bcCDGP_42,resistant
C70R_C70R.bcCJRC_43,resistant
C70R_C70R.bcHEBT_45,resistant
C70R_C70R.bcDCUE_46,resistant
C70R_C70R.bcCNLD_47,resistant
C70R_C70R.bcEPQX_48,resistant
C70R_C70R.bcEXIC_49,resistant
C70R_C70R.bcGBEK_51,resistant
C70R_C70R.bcHUKU_52,resistant
C70R_C70R.bcHRSS_53,resistant
C70R_C70R.bcAJYK_55,resistant
C70R_C70R.bcIEPC_56,resistant
C70R_C70R.bcAHKD_57,resistant
C70R_C70R.bcCVJJ_58,resistant
C70R_C70R.bcFXJY_59,resistant
C70R_C70R.bcGBFL_60,resistant
C70R_C70R.bcEMEY_61,resistant
C70R_C70R.bcEJBQ_62,resistant
C70R_C70R.bcDAIB_63,resistant
C70R_C70R.bcDGEY_64,resistant
C70R_C70R.bcCBNA_65,resistant
C70R_C70R.bcCIUA_66,resistant
C70R_C70R.bcBWLK_67,resistant
C70R_C70R.bcAGDG_68,resistant
C70R_C70R.bcHCEE_69,resistant
C70R_C70R.bcBVDZ_71,resistant
C70R_C70R.bcCPYY_72,resistant
C70R_C70R.bcEIOA_73,resistant
C70R_C70R.bcDLOP_74,resistant
C70R_C70R.bcALUX_75,resistant
C70R_C70R.bcFXPW_76,resistant
C70R_C70R.bcHEVM_77,resistant
C70R_C70R.bcHARC_78,resistant
C70R_C70R.bcAIVE_79,resistant
C70R_C70R.bcENGD_81,resistant
C70R_C70R.bcAJKD_82,resistant
C70R_C70R.bcECJW_83,resistant
C70R_C70R.bcGOWY_84,resistant
C70R_C70R.bcADUS_85,resistant
C70R_C70R.bcDYXB_87,resistant
C70R_C70R.bcFKUW_88,resistant
C70R_C70R.bcAGUI_89,resistant
C70R_C70R.bcGUBU_90,resistant
C70R_C70R.bcBNKH_91,resistant
C70R_C70R.bcGLON_93,resistant
C70R_C70R.bcBEKD_94,resistant
C70R_C70R.bcEWPA_95,resistant
C70R_C70R.bcGMEP_96,resistant
C70R_C70R.bcGNMP_97,resistant
C70R_C70R.bcGVMP_98,resistant
C70R_C70R.bcDPPH_99,resistant
C70R_C70R.bcHAWC_100,resistant
C70R_C70R.bcGCXK_101,resistant
C70R_C70R.bcFBEL_102,resistant
C70R_C70R.bcDADT_103,resistant
C70R_C70R.bcBQZI_104,resistant
C70R_C70R.bcBKNH_105,resistant
C70R_C70R.bcCUIM_106,resistant
C70R_C70R.bcHMNP_107,resistant
C70R_C70R.bcBHQA_109,resistant
C70R_C70R.bcHDXT_113,resistant
C70R_C70R.bcCKJM_114,resistant
C70R_C70R.bcFHJY_115,resistant
C70R_C70R.bcFICN_117,resistant
C70R_C70R.bcGBLL_118,resistant
C70R_C70R.bcFBWA_119,resistant
C70R_C70R.bcDLTO_121,resistant
C70R_C70R.bcAPIY_122,resistant
C70R_C70R.bcCHTA_123,resistant
C70R_C70R.bcDBME_126,resistant
C70R_C70R.bcDEHB_127,resistant
C70R_C70R.bcEXAU_128,resistant
C70R_C70R.bcDQPD_129,resistant
C70R_C70R.bcGFON_130,resistant
C70R_C70R.bcADCN_131,resistant
C70R_C70R.bcHXXK_132,resistant
C70R_C70R.bcGIAP_134,resistant
C70R_C70R.bcAVYF_135,resistant
C70R_C70R.bcGDKA_136,resistant
C70R_C70R.bcDSAS_137,resistant
C70R_C70R.bcCFJX_138,resistant
C70R_C70R.bcDVVP_139,resistant
C70R_C70R.bcFFJN_140,resistant
C70R_C70R.bcHOLM_141,resistant
C70R_C70R.bcAUFW_143,resistant
C70R_C70R.bcDEBW_144,resistant
C70R_C70R.bcCNVJ_145,resistant
C70R_C70R.bcCQGY_146,resistant
C70R_C70R.bcDSYB_147,resistant
C70R_C70R.bcAARA_148,resistant
C70R_C70R.bcEDVH_150,resistant
C70R_C70R.bcCVPA_151,resistant
C70R_C70R.bcDELN_152,resistant
C70R_C70R.bcGILP_153,resistant
C70R_C70R.bcEOIB_154,resistant
C70R_C70R.bcHEJW_155,resistant
C70R_C70R.bcIDQI_157,resistant
C70R_C70R.bcCUQD_158,resistant
C70R_C70R.bcAFIM_159,resistant
C70R_C70R.bcHQHR_160,resistant
C70R_C70R.bcFAHD_162,resistant
C70R_C70R.bcDEIW_163,resistant
C70R_C70R.bcEURW_164,resistant
C70R_C70R.bcCZIS_165,resistant
C70R_C70R.bcIBHS_166,resistant
C70R_C70R.bcGLKT_168,resistant
C70R_C70R.bcBCDB_169,resistant
C70R_C70R.bcBUSL_170,resistant
C70R_C70R.bcGSZS_171,resistant
C70R_C70R.bcDNME_172,resistant
C70R_C70R.bcBMZY_173,resistant
C70R_C70R.bcHJNC_174,resistant
C70R_C70R.bcFVPZ_175,resistant
C70R_C70R.bcAMZF_177,resistant
C70R_C70R.bcAHEW_178,resistant
C70R_C70R.bcCREG_179,resistant
C70R_C70R.bcALCJ_181,resistant
C70R_C70R.bcDSWL_182,resistant
C70R_C70R.bcGQOI_183,resistant
C70R_C70R.bcFDLZ_184,resistant
C70R_C70R.bcDCWO_185,resistant
C70R_C70R.bcIALS_186,resistant
C70R_C70R.bcHOPJ_187,resistant
C70R_C70R.bcAUDO_188,resistant
C70R_C70R.bcDJGH_190,resistant
C70R_C70R.bcFAIO_192,resistant
C70R_C70R.bcHYEE_193,resistant
C70R_C70R.bcICVC_194,resistant
C70R_C70R.bcHOJA_196,resistant
C70R_C70R.bcAGRY_197,resistant
C70R_C70R.bcHPAM_198,resistant
C70R_C70R.bcGAZZ_201,resistant
C70R_C70R.bcANFG_202,resistant
C70R_C70R.bcCTTD_203,resistant
C70R_C70R.bcCIOL_204,resistant
C70R_C70R.bcAFXW_205,resistant
C70R_C70R.bcGFQF_206,resistant
C70R_C70R.bcDGCL_207,resistant
C70R_C70R.bcEYXX_208,resistant
C70R_C70R.bcAQXZ_209,resistant
C70R_C70R.bcETES_210,resistant
C70R_C70R.bcBFCS_211,resistant
C70R_C70R.bcFTVE_214,resistant
C70R_C70R.bcALDY_215,resistant
C70R_C70R.bcHTLR_216,resistant
C70R_C70R.bcEMVD_217,resistant
C70R_C70R.bcAIQO_218,resistant
C70R_C70R.bcHNZE_220,resistant
C70R_C70R.bcCJWN_221,resistant
C70R_C70R.bcDZQE_222,resistant
C70R_C70R.bcBQCD_223,resistant
C70R_C70R.bcDBDF_224,resistant
C70R_C70R.bcDQYD_225,resistant
C70R_C70R.bcAHTK_226,resistant
C70R_C70R.bcDUHY_227,resistant
C70R_C70R.bcGTXE_228,resistant
C70R_C70R.bcHIDG_229,resistant
C70R_C70R.bcIBTL_230,resistant
C70R_C70R.bcDVFT_231,resistant
C70R_C70R.bcAQCC_232,resistant
C70R_C70R.bcFXLD_233,resistant
C70R_C70R.bcFSXF_235,resistant
C70R_C70R.bcAXQC_236,resistant
C70R_C70R.bcDWAD_237,resistant
C70R_C70R.bcEHPA_238,resistant
C70R_C70R.bcCNMN_239,resistant
C70R_C70R.bcEQWT_240,resistant
C70R_C70R.bcEAIW_241,resistant
C70R_C70R.bcCUQS_242,resistant
C70R_C70R.bcIGOI_243,resistant
C70R_C70R.bcAOAW_244,resistant
C70R_C70R.bcACOK_245,resistant
C70R_C70R.bcBMIC_246,resistant
C70R_C70R.bcGVNA_247,resistant
C70R_C70R.bcGQDG_248,resistant
C70R_C70R.bcCZOK_249,resistant
C70R_C70R.bcIBRL_250,resistant
C70R_C70R.bcHJDW_251,resistant
C70R_C70R.bcEWHH_253,resistant
C70R_C70R.bcGPCE_254,resistant
C70R_C70R.bcAHBW_255,resistant
C70R_C70R.bcEQGL_256,resistant
C70R_C70R.bcFVKM_257,resistant
C70R_C70R.bcDDCJ_258,resistant
C70R_C70R.bcAELB_259,resistant
C70R_C70R.bcDQSB_260,resistant
C70R_C70R.bcGRGC_261,resistant
C70R_C70R.bcBWOX_264,resistant
C70R_C70R.bcCWKB_265,resistant
C70R_C70R.bcBTAF_267,resistant
C70R_C70R.bcHEFS_268,resistant
C70R_C70R.bcFZBL_270,resistant
C70R_C70R.bcAPVA_271,resistant
C70R_C70R.bcATQF_272,resistant
C70R_C70R.bcDXCD_273,resistant
C70R_C70R.bcEXZI_274,resistant
C70R_C70R.bcCTSS_275,resistant
C70R_C70R.bcABNT_276,resistant
C70R_C70R.bcEAOA_277,resistant
C70R_C70R.bcIKBY_278,resistant
C70R_C70R.bcGHWD_280,resistant
C70R_C70R.bcBJUQ_281,resistant
C70R_C70R.bcBNWB_282,resistant
C70R_C70R.bcELLM_283,resistant
C70R_C70R.bcHJZF_285,resistant
C70R_C70R.bcBECB_286,resistant
C70R_C70R.bcHRLN_287,resistant
C70R_C70R.bcDPQE_288,resistant
C70R_C70R.bcBGXV_289,resistant
C70R_C70R.bcCACO_292,resistant
C70R_C70R.bcHINA_293,resistant
C70R_C70R.bcCOGC_294,resistant
C70R_C70R.bcADMP_295,resistant
C70R_C70R.bcFVMV_296,resistant
C70R_C70R.bcGKEG_297,resistant
C70R_C70R.bcCRBL_298,resistant
C70R_C70R.bcDETM_299,resistant
C70R_C70R.bcDTHD_300,resistant
C70R_C70R.bcHKRM_301,resistant
C70R_C70R.bcCNAY_302,resistant
C70R_C70R.bcBGLJ_303,resistant
C70R_C70R.bcCUPA_305,resistant
C70R_C70R.bcEHRW_306,resistant
C70R_C70R.bcGWQY_307,resistant
C70R_C70R.bcFCMY_308,resistant
C70R_C70R.bcHLLC_310,resistant
C70R_C70R.bcIGCX_311,resistant
C70R_C70R.bcBHQN_312,resistant
C70R_C70R.bcIFJR_315,resistant
C70R_C70R.bcIDKB_316,resistant
C70R_C70R.bcDYIU_317,resistant
C70R_C70R.bcDQEB_319,resistant
C70R_C70R.bcGPSO_320,resistant
C70R_C70R.bcFPHG_321,resistant
C70R_C70R.bcIIAX_322,resistant
C70R_C70R.bcFEKK_323,resistant
C70R_C70R.bcGUFP_324,resistant
C70R_C70R.bcGEHB_325,resistant
C70R_C70R.bcGZAX_326,resistant
C70R_C70R.bcAZBC_327,resistant
C70R_C70R.bcHDJS_328,resistant
C70R_C70R.bcBGKQ_331,resistant
C70R_C70R.bcAAFX_332,resistant
C70R_C70R.bcANPA_333,resistant
C70R_C70R.bcGXWZ_334,resistant
C70R_C70R.bcAJIT_335,resistant
C70R_C70R.bcEIMX_336,resistant
C70R_C70R.bcCZDX_337,resistant
C70R_C70R.bcDZOG_338,resistant
C70R_C70R.bcASEZ_339,resistant
C70R_C70R.bcFZUS_340,resistant
C70R_C70R.bcDRUL_341,resistant
C70R_C70R.bcGGQP_343,resistant
C70R_C70R.bcGDLX_344,resistant
C70R_C70R.bcCRWC_345,resistant
C70R_C70R.bcHKRR_346,resistant
C70R_C70R.bcFKDN_347,resistant
C70R_C70R.bcBNLY_349,resistant
C70R_C70R.bcBVDL_350,resistant
C70R_C70R.bcDFQD_351,resistant
C70R_C70R.bcFRPC_353,resistant
C70R_C70R.bcCGUE_354,resistant
C70R_C70R.bcANAM_356,resistant
C70R_C70R.bcBWJY_358,resistant
C70R_C70R.bcBDET_360,resistant
C70R_C70R.bcHLDR_361,resistant
C70R_C70R.bcEVVI_363,resistant
C70R_C70R.bcBGCW_365,resistant
C70R_C70R.bcAREB_366,resistant
C70R_C70R.bcANPR_368,resistant
C70R_C70R.bcCGHR_369,resistant
C70R_C70R.bcHQHZ_370,resistant
C70R_C70R.bcDAMP_371,resistant
C70R_C70R.bcEDOY_372,resistant
C70R_C70R.bcCXIC_373,resistant
C70R_C70R.bcFXDB_375,resistant
C70R_C70R.bcEMBX_376,resistant
C70R_C70R.bcBSJY_377,resistant
C70R_C70R.bcEJAQ_378,resistant
C70R_C70R.bcBOZM_379,resistant
C70R_C70R.bcEOPL_380,resistant
C70R_C70R.bcDTKZ_381,resistant
C70R_C70R.bcGSVV_383,resistant
C70R_C70R.bcDNRQ_384,resistant
C70R_C70R.bcGFQV_385,resistant
C70R_C70R.bcEUGR_386,resistant
C70R_C70R.bcAUEC_387,resistant
C70R_C70R.bcEFEW_388,resistant
C70R_C70R.bcACML_389,resistant
C70R_C70R.bcGJKU_390,resistant
C70R_C70R.bcBKSB_392,resistant
C70R_C70R.bcHBFN_393,resistant
C70R_C70R.bcFULY_395,resistant
C70R_C70R.bcCLGG_396,resistant
C70R_C70R.bcAXIK_398,resistant
C70R_C70R.bcCIYQ_399,resistant
C70R_C70R.bcAQHM_400,resistant
C70R_C70R.bcIFQS_402,resistant
C70R_C70R.bcFTNQ_403,resistant
C70R_C70R.bcCBZU_405,resistant
C70R_C70R.bcHVVW_406,resistant
C70R_C70R.bcFSAX_407,resistant
C70R_C70R.bcGLCG_408,resistant
C70R_C70R.bcFUTT_409,resistant
C70R_C70R.bcABAT_410,resistant
C70R_C70R.bcCVJH_412,resistant
C70R_C70R.bcHDGY_413,resistant
C70R_C70R.bcICLS_414,resistant
C70R_C70R.bcAIBZ_418,resistant
