,harmony_1,harmony_2,harmony_3,harmony_4,harmony_5,harmony_6,harmony_7,harmony_8,harmony_9,harmony_10,harmony_11,harmony_12,harmony_13,harmony_14,harmony_15,harmony_16,harmony_17,harmony_18,harmony_19,harmony_20,harmony_21,harmony_22,harmony_23,harmony_24,harmony_25,harmony_26,harmony_27,harmony_28,harmony_29,harmony_30,harmony_31,harmony_32,harmony_33,harmony_34,harmony_35,harmony_36,harmony_37,harmony_38,harmony_39,harmony_40,harmony_41,harmony_42,harmony_43,harmony_44,harmony_45,harmony_46,harmony_47,harmony_48,harmony_49,harmony_50
CD141_P10_S73,0.149183728953077,10.4849315270974,-6.6021574851318,-0.759746529940763,-1.20771418544285,-0.91072973561848,1.44814547698802,1.58244748617707,-0.208222291246419,1.24943997559975,2.21781474330691,-0.522761644705701,0.188325172408233,-0.199741555226383,-1.81150042506582,-0.606180108414661,0.888190652230625,1.15572637294365,-0.553519278864742,1.58002464364621,-1.63740870697903,1.64255094753859,0.361907495388012,-3.14582091309934,-2.23645224681971,2.0806448945998,-1.74608603887828,-1.28453449079231,-3.08964850768102,2.21768120901175,1.33994479774443,-1.27731866437292,0.0212156863464041,0.671368761502926,-0.302084135874036,0.402661710828426,-4.45768972840881,-1.71024597548908,0.58392601951344,-0.176849508452718,-2.91485433979043,1.37544423451386,0.124905912147633,4.05612778505902,-1.83657662082632,-2.66479343481499,-0.592444029939894,0.213394188800875,0.925155226227985,1.86450050040176
CD141_P10_S74,3.24117874474693,2.30706687347962,-0.912919936433911,3.8031113536745,-3.79546856724958,10.6494558251122,-1.51300786181044,1.00388495637118,2.17872987057564,0.939519121174742,1.298608645722,0.994961770902289,0.0849583121090201,-2.01662183779868,-1.20379411391662,-0.67517968937822,-2.84049836694441,-2.38307353348001,-2.80562321258233,-3.89190152606828,-0.234445846908619,-2.50119693206868,-4.27090289658712,1.04459302805312,2.68285537141407,-3.25852265234773,0.761749405655713,0.587997586782379,-2.39717985680735,-1.29261303264298,0.88278079416178,1.20390718218016,-0.123807214864277,1.5885608996319,-0.61629105601681,0.737157864368639,-0.674657590530502,1.14416025947053,-0.706955851025807,4.06972961482868,-1.35422346206359,-0.135150341877571,-1.85387640946302,-0.555998387386065,0.189741739640868,-3.77301253048762,1.34017427023703,-0.129122951973957,-1.17699583074235,1.78317692757092
CD141_P10_S75,1.05957153880593,11.5619421238403,-9.3644152090281,-3.54543243894888,1.17195727190903,-2.67587404562675,1.33799998380675,-0.41683329701687,2.2080653967473,-2.99496095542963,2.78249893996061,2.28893594851965,-1.74230222239006,0.62349289224259,-0.928431633234029,5.67916354461017,2.22520470676578,3.60252498215744,6.0614512138772,-1.18305919879603,-7.96627253649575,-6.03410913402579,-0.742187511409992,-0.817045817801416,1.99162800589968,-6.16255675272952,-8.16320545406917,-3.28334516721523,-6.48627847003676,5.04597877789163,0.191699267357054,-5.70920864655293,-0.732151694066405,1.4846531844561,1.30748342272336,0.542435612076768,0.436147030465927,-1.07667565746704,-0.997109298084868,-0.995814785460969,-2.89337467929741,1.14174404488421,-0.771371715298038,-0.637192596204717,-3.36548990648445,-2.25718313855208,-4.06194619079635,-1.59269164866,5.45363569055663,-3.66100779554017
CD141_P10_S76,2.76698637924202,10.1537096940272,-10.2235869983668,0.808444549769127,0.935980526379926,-2.09905536416018,-0.349531197004129,-0.443242043433997,1.07208413439641,0.345517233123538,2.05331571296809,-2.07632916376065,-0.872575546638967,2.01112666208336,-0.26316709929669,4.80453148099919,0.643275127524359,2.58129258579048,2.30282415735768,0.695315496121912,1.20325474171814,1.29244540561139,-0.0264429403843465,-4.97770652709936,1.94995074430452,-0.118679385131422,-0.679220448880852,-1.55837873393477,-0.569004282357204,3.04376157843502,1.59596700452321,-1.31910945927529,1.51406891521988,0.432628500730309,2.26559430217802,-1.80939619633732,-1.46616021260354,1.97355557863026,-1.55960142647803,-2.54331557535236,-1.54397138852133,-0.73652955239154,-1.05823062064689,-0.142328287455974,-3.70911292554206,1.97859500783816,1.14918447480943,-1.38888417702486,-3.34138660609204,1.4093988459606
CD141_P10_S77,1.09337596019254,11.0248463062901,-8.10051052991009,-0.219805762235266,0.0635698386505636,0.308562477183388,0.0289797987505401,0.26469629460095,3.1672283351648,-1.44313306477391,1.32862215552024,-2.3475798381709,-0.398979796475333,-1.92364464897946,-1.03685303518491,-1.96881731646266,1.60475561670977,-0.993899180740406,1.70820613638009,0.461282360945971,-1.59570032673467,-0.788009759383514,-1.43301314437305,-1.0534043973272,1.27250713421881,0.344325579957362,-1.39670508693112,-1.01639747930442,0.377441861466922,-1.41603295906139,3.53955428880112,5.22799019120218,-3.81543790403711,1.83703452377346,3.12989404155957,-3.08972115798044,0.0625310250858903,0.127001602718562,1.07791891596305,1.63802467340666,-3.02317010817932,-1.02956167955653,-1.5384363483527,-0.713353704686177,1.73440411312311,-0.537903573193102,-3.87460455865892,-3.32288685791769,-1.86109422765901,-0.706293723461679
CD141_P10_S78,2.76440885585083,4.45177625709989,2.36747748165493,-0.578624956065858,-0.0527498148226069,11.3877909262104,2.6127504369793,-0.502118724586011,-3.14677651566452,3.74552402898176,3.58483230344623,3.36664353373274,-2.71963789036929,-1.24424136230264,-1.59279660552094,-1.42472010872942,0.843238614195581,-1.17039468952023,-2.69308963626122,5.44497848203036,-2.34735970161887,2.72103004389382,-2.92753925386842,-6.40156079693989,-1.0364057705384,4.82727669657649,-5.25911021609811,5.38949375423114,-2.35389819239952,-4.46318575541248,3.30959338403296,0.279076806424946,-3.2721993235067,-1.55337534059845,0.121231357565827,3.84195973727998,-2.77161833697274,-1.69711139257951,-0.0795326503825163,4.5332776021212,1.14735157618348,2.20850777463589,-2.65936325681982,2.91309540038602,-1.36645613891562,-5.12606091475986,-4.31066594691636,-6.1185119071012,-1.31038744395506,-3.77270167343539
CD141_P10_S79,1.67939585831559,10.4420602741102,-9.15836546172886,-1.49179563833176,0.643248572888687,-0.282708110448427,-1.79353109941932,-2.24878339753274,0.986727052814276,0.958083817528693,0.318978618348573,0.0671799885122767,1.36433909972046,0.0820725280429482,2.33045047188834,-1.0024947310997,-1.60852148638365,3.93491963424402,-1.58001504800051,0.405446791712614,-4.32663271702249,-0.861681807234707,-1.32151514676214,0.474759909879597,2.78211851986855,2.01931668536468,6.76801801421059,-5.22159844958204,3.2080205243122,-3.72203177446899,-2.72928924229956,-0.25553315988904,0.450627557672971,-0.139801068451327,-2.70330693079614,-4.71207635287735,2.86773157800495,4.10640486225638,-0.852418578075606,2.49067515039037,-0.671819605190205,1.40761379827709,-4.24939027177347,-1.64452821578457,-2.05523675202445,-1.56923121048786,-0.0988995369033524,1.47910703049975,-3.03231185718085,0.36599893564188
CD141_P10_S80,1.08688955109111,11.5439416172655,-8.52418799437877,-1.73581183005279,0.393320558273135,-2.03136923500937,-0.426293911725274,-1.40711343749198,1.33139160602625,-2.70718876776651,-3.65903025784674,-2.9908419873549,-0.425313953637455,-0.453536656989836,0.227778607221324,4.66236051165104,-2.14691191186895,-1.02448965004496,-1.18976368871842,-1.8867377128106,3.09618367953789,0.927863445714822,2.65393914927503,3.88215911385113,1.63069401347128,-1.92707143669032,2.28209385002466,1.73661555539691,-0.958351767266257,4.15080727610847,-1.19149811961083,-4.19069686153767,-0.027096991626426,-2.09147164269081,0.329936251481362,-0.539490369231844,1.32690443012198,-2.4793512123464,0.401401485801961,2.42177644321683,2.21378388155641,-1.000099054037,-2.89280839327273,-3.22128700106896,-3.66926128503056,-2.74282447463854,-0.671776316064504,-1.90549774223651,0.52280881111332,-1.08464332848759
CD141_P10_S81,5.12434827172597,2.89140660880714,-1.21999973487533,4.50755034741284,-2.70100044756426,8.66555652445962,0.964828667807631,0.577745186191273,3.73766795986407,2.50133228747381,1.66148778325258,0.622572465951852,-2.10916661099466,-2.04893979281081,1.74754978511021,-1.31765287065683,0.657559382046843,0.915501479492614,-0.702092590910576,-1.98994824314243,1.96313201821301,-2.08994217692634,-0.631574752348655,-0.676048133972111,3.1086481259017,-2.05564742007375,0.842220815708374,1.21435750019094,-0.603983523406709,-1.29043313951499,3.28347010183318,1.18862759446491,-0.00985174158050308,-0.416772838442501,-3.51284710600651,1.47902109026505,-1.28483691515867,-0.311059113939853,-2.77343621225058,3.31972677754805,-3.40135489026711,-0.752240511102922,0.588518505647774,0.204971156890338,0.00903816399824814,-0.814261280321547,0.243940579193642,-2.17578132019895,2.26382160515865,0.440597983578664
CD141_P10_S82,0.741463436360376,12.8349756309772,-4.79501878023413,-1.84466876141419,-1.5164574421167,-0.528910134317096,0.664934027784975,0.328005350945658,0.562168904917036,1.48820652546211,0.203443840729098,-1.14039300798637,1.09041727902164,-1.32083949576949,-0.0472516641625485,-4.58658580362073,3.97655451396797,0.61784675194015,-0.23995460010161,0.321732413293181,2.93548217845469,-0.517820749807611,0.329831027522939,-0.865889461070515,-0.0520129541205651,1.54669624334163,0.597588831231239,0.356063268105748,-2.78624041676639,0.102319176517714,1.51883274460236,-0.0254549906072848,2.68054234246267,-2.40635844571045,0.765811929783526,-1.57593006894309,-2.81037664556186,-3.91197582571033,3.54347946194298,-1.0799076562857,-4.95053750622185,0.272066760492328,4.97841543052277,0.0206356477298488,-0.585128089657221,-3.52972240671392,2.76494412180986,0.227305375088519,2.78160978147206,-0.738074113639989
